YEAR,STATE,alzheimer_death_rate,cancer_death_rate,obesity_rate
2019.0,AL,0.02659,0.10266,0.361
2019.0,AK,0.00128,0.01021,0.305
2019.0,AZ,0.03047,0.12503,0.314
2019.0,AR,0.01507,0.06482,0.374
2019.0,CA,0.16859,0.59512,0.262
2019.0,CO,0.01909,0.07986,0.23800000000000002
2019.0,CT,0.00967,0.06496,0.29100000000000004
2019.0,DE,0.00339,0.02074,0.344
2019.0,FL,0.06539,0.45583,0.27
2019.0,GA,0.04221,0.17756,0.331
2019.0,HI,0.00471,0.025,0.25
2019.0,ID,0.0065,0.02928,0.295
2019.0,IL,0.03954,0.23902,0.316
2019.0,IN,0.02561,0.13515,0.353
2019.0,IA,0.01344,0.06335,0.33899999999999997
2019.0,KS,0.00839,0.05619,0.35200000000000004
2019.0,KY,0.01684,0.09975,0.365
2019.0,LA,0.02165,0.09485,0.359
2019.0,ME,0.00544,0.03413,0.317
2019.0,MD,0.01012,0.10743,0.32299999999999995
2019.0,MA,0.01663,0.12582,0.252
2019.0,MI,0.04467,0.20923,0.36
2019.0,MN,0.02552,0.10042,0.301
2019.0,MS,0.01662,0.06587,0.408
2019.0,MO,0.02782,0.12873,0.348
2019.0,MT,0.00326,0.02099,0.28300000000000003
2019.0,NE,0.00768,0.03482,0.341
2019.0,NV,0.00678,0.05434,0.306
2019.0,NH,0.00511,0.02819,0.318
2019.0,NJ,0.02629,0.15698,0.3219387755102037
2019.0,NM,0.00568,0.03614,0.317
2019.0,NY,0.03753,0.33655,0.271
2019.0,NC,0.04508,0.19951,0.34
2019.0,ND,0.00403,0.01316,0.348
2019.0,OH,0.05234,0.2517,0.348
2019.0,OK,0.01775,0.08309,0.368
2019.0,OR,0.01992,0.0808,0.29
2019.0,PA,0.0415,0.27746,0.332
2019.0,RI,0.00456,0.0221,0.3
2019.0,SC,0.02323,0.10487,0.354
2019.0,SD,0.00495,0.01737,0.33
2019.0,TN,0.03252,0.14382,0.365
2019.0,TX,0.10101,0.41489,0.34
2019.0,UT,0.0098,0.03289,0.292
2019.0,VT,0.00315,0.01378,0.266
2019.0,VA,0.02631,0.15045,0.319
2019.0,WA,0.03585,0.1296,0.28300000000000003
2019.0,WV,0.00832,0.04604,0.397
2019.0,WI,0.0239,0.11505,0.342
2019.0,WY,0.00238,0.01016,0.297
2018.0,AL,0.02616,0.10632,0.361
2018.0,AK,0.00131,0.00957,0.305
2018.0,AZ,0.03012,0.12113,0.314
2018.0,AR,0.01457,0.06491,0.374
2018.0,CA,0.16627,0.59962,0.262
2018.0,CO,0.01649,0.07812,0.23800000000000002
2018.0,CT,0.00986,0.06472,0.29100000000000004
2018.0,DE,0.00412,0.02101,0.344
2018.0,FL,0.06725,0.45281,0.27
2018.0,GA,0.04513,0.17397,0.331
2018.0,HI,0.0048,0.02405,0.25
2018.0,ID,0.00666,0.03049,0.295
2018.0,IL,0.0403,0.23885,0.316
2018.0,IN,0.02668,0.13479,0.353
2018.0,IA,0.01439,0.06427,0.33899999999999997
2018.0,KS,0.00899,0.05607,0.35200000000000004
2018.0,KY,0.01674,0.10135,0.365
2018.0,LA,0.02166,0.09382,0.359
2018.0,ME,0.0058,0.03275,0.317
2018.0,MD,0.01122,0.10927,0.32299999999999995
2018.0,MA,0.01823,0.12635,0.252
2018.0,MI,0.04474,0.21018,0.36
2018.0,MN,0.02436,0.0991,0.301
2018.0,MS,0.01547,0.0651,0.408
